uri,book_id,name,author_name,author_movement,genre,abstract,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Avg_Rating
http://dbpedia.org/resource/The_Deerslayer,730,The Deerslayer,James Fenimore Cooper,Romanticism,Adventure fiction,"The Deerslayer, or The First Warpath (1841) was the last of James Fenimore Cooper's Leatherstocking Tales to be written. Its 1740-1745 time period makes it the first installment chronologically and in the lifetime of the hero of the Leatherstocking tales, Natty Bumppo. The novel's setting on Otsego Lake in central, upstate New York, is the same as that of The Pioneers, the first of the Leatherstocking Tales to be published (1823). The Deerslayer is considered to be the prequel to the rest of the series. Fenimore Cooper begins his work by relating the astonishing advance of civilization in New York State, which is the setting of four of his five Leatherstocking Tales.",424,516,9499,1904,1163,3.21220198430327
http://dbpedia.org/resource/Journey_to_Karabakh,685,Journey to Karabakh,Aka Morchiladze,Postmodernism,Adventure fiction,Journey to Karabakh is a 1992  novel by Georgian writer Aka Morchiladze. In 2005 film director Levan Tutberidze made a movie bazed on this novel.,3064,9401,8542,5499,4686,2.97890484739677
http://dbpedia.org/resource/Post_Oaks_&_Sand_Roughs,1614,Post Oaks & Sand Roughs,Robert E. Howard,Weird fiction,Adventure fiction,"Post Oaks & Sand Roughs is a semi-autobiographical adventure novel by Robert E. Howard.  It was first published in 1989 in France by NéO (Nouvelles Editions Oswald) under the title of 'Le Rebelle', since 1990 by Donald M. Grant, Publisher, Inc. in an edition of 850 copies.  The book contains an introduction and appendix by Glenn Lord where Lord identifies the real people who appear as thinly disguised characters in the novel.",2264,5500,8647,7376,792,2.9565482729159
http://dbpedia.org/resource/The_Cruise_of_the_Dazzler,1864,The Cruise of the Dazzler,Jack London,Realism (arts),Adventure fiction,"The Cruise of the Dazzler is an early novel by Jack London, set in his home city of San Francisco. It is considered a boy's adventure novel.In the novel, Joe Bronson, dissatisfied with his dull life at school, runs away and joins the crew of a sloop he sees in San Francisco Bay. He finds the captain is involved in criminal activities.The nautical activities on board a sailing boat are authentically described, and there are convincing descriptions of boats enduring stormy weather at sea.",3225,1589,6527,3595,1813,2.95116126335901
http://dbpedia.org/resource/The_Count_of_Monte_Cristo,2342,The Count of Monte Cristo,Alexandre Dumas,Romanticism,Adventure fiction,"The Count of Monte Cristo (French: Le Comte de Monte-Cristo) is an adventure novel by French author Alexandre Dumas (père) completed in 1844. It is one of the author's most popular works, along with The Three Musketeers. Like many of his novels, it is expanded from plot outlines suggested by his collaborating ghostwriter Auguste Maquet.The story takes place in France, Italy, and islands in the Mediterranean during the historical events of 1815–1839: the era of the Bourbon Restoration through the reign of Louis-Philippe of France. It begins just before the Hundred Days period (when Napoleon returned to power after his exile). The historical setting is a fundamental element of the book, an adventure story primarily concerned with themes of hope, justice, vengeance, mercy, and forgiveness. It centres around a man who is wrongfully imprisoned, escapes from jail, acquires a fortune, and sets about getting revenge on those responsible for his imprisonment. However, his plans have devastating consequences for the innocent as well as the guilty. In addition, it is a story that involves romance, loyalty, betrayal, and selfishness, shown throughout the story as characters slowly reveal their true inner nature.The book is considered a literary classic today. According to Luc Sante, 'The Count of Monte Cristo has become a fixture of Western civilization's literature, as inescapable and immediately identifiable as Mickey Mouse, Noah's flood, and the story of Little Red Riding Hood.'",6362,2242,8460,5021,3972,2.92320681582684
http://dbpedia.org/resource/Tarzan:_The_Lost_Adventure,908,Tarzan: The Lost Adventure,Joe R. Lansdale,Splatterpunk,Adventure fiction,"Tarzan: The Lost Adventure is a novel written by Joe R. Lansdale based on an incomplete fragment of a Tarzan novel written by Edgar Rice Burroughs but left unfinished at his death.  The book was serialized in four parts by Dark Horse Comics, before being published as a single volume in 1995.",3100,9940,1121,7440,3210,2.9081052758857
http://dbpedia.org/resource/White_Fang,1619,White Fang,Jack London,Naturalism (literature),Adventure fiction,"This article is about the novel. For films and other uses, see White Fang (disambiguation).White Fang is a novel by American author Jack London (1876–1916) — and the name of the book's eponymous character, a wild wolfdog. First serialized in Outing magazine, it was published in 1906. The story takes place in Yukon Territory, Canada, during the 1890s Klondike Gold Rush and details White Fang's journey to domestication. It is a companion novel (and a thematic mirror) to London's best-known work, The Call of the Wild, which is about a kidnapped, domesticated dog embracing his wild ancestry to survive and thrive in the wild.Much of White Fang is written from the viewpoint of the titular canine character, enabling London to explore how animals view their world and how they view humans. White Fang examines the violent world of wild animals and the equally violent world of humans. The book also explores complex themes including morality and redemption.White Fang has been adapted for the screen numerous times, including a 1991 film starring Ethan Hawke.",7784,7256,4149,6424,5966,2.85851356914405
http://dbpedia.org/resource/Black_Vulmea's_Vengeance,1615,Black Vulmea's Vengeance,Robert E. Howard,Sword and sorcery,Adventure fiction,"Black Vulmea's vengeance & Other Tales of Pirates is a collection of Adventure short stories about pirates by Robert E. Howard.  It was first published in 1976 by Donald M. Grant, Publisher, Inc. in an edition of 2,750 copies.  The title story first appeared in the magazine Golden Fleece in 1938.",6126,9625,9612,2133,7299,2.85210518752694
http://dbpedia.org/resource/Israel_Potter,1273,Israel Potter,Herman Melville,Romanticism,Adventure fiction,"Israel Potter: His Fifty Years of Exile is the eighth book by American writer Herman Melville, first published in serial form in Putnam's Monthly magazine between July 1854 and March 1855, and in book form by G. P. Putnam & Co. in March 1855. A pirated edition was also published in London by George Routledge in May 1855. The book is loosely based on a pamphlet (108-page) autobiography that Melville acquired in the 1840s, Life and Remarkable Adventures of Israel R. Potter (Providence, Rhode Island, 1824).",7026,1213,9524,6028,2202,2.81406532527988
http://dbpedia.org/resource/Billy_Budd,1272,Billy Budd,Herman Melville,Romanticism,Adventure fiction,"Billy Budd, Sailor  is a novella by American writer Herman Melville, first published posthumously in London in 1924. Melville began writing the work in November 1888, but left it unfinished at his death in 1891. It was acclaimed by British critics as a masterpiece when published in London, and quickly took its place among the canon of significant works in the United States.The novella was discovered in manuscript form in 1919 by Raymond M. Weaver, who was studying Melville's papers as his first biographer. Melville's widow had begun to edit the manuscript, but had not been able to decide her husband's intentions at several key points or even to see his intended title. Poor transcription and misinterpretation of Melville's notes marred the first published versions of the text. After several years of study, Harrison Hayford and Merton M. Sealts, Jr. published what is now considered the best transcription and critical reading text in 1962.The novella was adapted as a stage play in 1951 and produced on Broadway, where it won the Donaldson Awards and Outer Critics Circle Awards for best play. Benjamin Britten adapted it as an opera by the same name, first performed in December 1951.The play was adapted into a film in 1962, produced, directed, co-written, and starring Peter Ustinov with Terence Stamp receiving an Academy Award nomination in his film debut.",4844,2098,4205,803,3848,2.79193568806178
http://dbpedia.org/resource/Moby-Dick,1274,Moby-Dick,Herman Melville,Romanticism,Adventure fiction,"Moby-Dick; or, The Whale (1851) is a novel by Herman Melville considered an outstanding work of Romanticism  and the American Renaissance. Ishmael narrates the monomaniacal quest of Ahab, captain of the whaler Pequod, for revenge on Moby Dick, a white whale which on a previous voyage destroyed Ahab's ship and severed his leg at the knee. Although the novel was a commercial failure and out of print at the time of the author's death in 1891, its reputation as a Great American Novel grew during the 20th century. William Faulkner confessed he wished he had written it himself, and D. H. Lawrence called it 'one of the strangest and most wonderful books in the world', and 'the greatest book of the sea ever written'.  'Call me Ishmael' is one of world literature's most famous opening sentences.The product of a year and a half of writing, the book is dedicated to Nathaniel Hawthorne, 'in token of my admiration for his genius', and draws on Melville's experience at sea, on his reading in whaling literature, and on literary inspirations such as Shakespeare and the Bible. The detailed and realistic descriptions of whale hunting and of extracting whale oil, as well as life aboard ship among a culturally diverse crew, are mixed with exploration of class and social status, good and evil, and the existence of God. In addition to narrative prose, Melville uses styles and literary devices ranging from songs, poetry and catalogs to Shakespearean stage directions, soliloquies and asides.The work was first published as The Whale in London in October 1851 and then under its definitive title Moby-Dick in New York in November. There were hundreds of slight but important differences between the two editions. The London publisher censored or changed sensitive passages and Melville made revisions as well, including the  last-minute change in the title for the New York edition. The whale, however, appears in both editions as 'Moby Dick', with no hyphen. About 3,200 copies were sold during the author's life, earning him a little more than $1,200.",4092,84,6935,3534,634,2.77315269323909
http://dbpedia.org/resource/They_Came_to_Baghdad,1098,They Came to Baghdad,Agatha Christie,Golden Age of Detective Fiction,Adventure fiction,"They Came to Baghdad is an adventure novel by Agatha Christie, first published in the United Kingdom by the Collins Crime Club on 5 March 1951 and in the United States by Dodd, Mead and Company later in the same year. The UK edition retailed at eight shillings and sixpence (8/6) and the US edition at $2.50.The book was inspired by Christie's own trips to Baghdad with her second husband, archaeologist Sir Max Mallowan, and is also one of few Christie novels belonging to the action and spy fiction genres, rather than to mysteries and whodunnits.",8198,6711,9132,696,7504,2.77038553394746
http://dbpedia.org/resource/God_Emperor_of_Dune,1270,God Emperor of Dune,Frank Herbert,New Wave science fiction,Adventure fiction,"God Emperor of Dune is a science fiction novel by Frank Herbert published in 1981, the fourth in his Dune series of six novels. It was ranked as the #11 hardcover fiction best seller of 1981 by Publishers Weekly.",9680,8447,9570,2495,8032,2.75805776475513
http://dbpedia.org/resource/White-Jacket,1122,White-Jacket,Herman Melville,Romanticism,Adventure fiction,"White-Jacket; or, The World in a Man-of-War is the fifth book by American writer Herman Melville, first published in London in 1850. The book is based on the author's fourteen months service in the United States Navy, aboard the frigate USS United States.",6989,3827,697,536,5318,2.61806875107963
http://dbpedia.org/resource/The_Sea-Wolf,1620,The Sea-Wolf,Jack London,Realism (arts),Adventure fiction,"The Sea-Wolf is a 1904 psychological adventure novel by American novelist Jack London about a literary critic, survivor of an ocean collision, who comes under the dominance of Wolf Larsen, the powerful and amoral sea captain who rescues him. Its first printing of forty thousand copies was immediately sold out before publication on the strength of London's previous The Call of the Wild. Ambrose Bierce wrote, 'The great thing—and it is among the greatest of things—is that tremendous creation, Wolf Larsen... the hewing out and setting up of such a figure is enough for a man to do in one lifetime... The love element, with its absurd suppressions, and impossible proprieties, is awful.'",6302,8115,8024,2909,3221,2.60211403171048
